SCATS Number,NB_LATITUDE,NB_LONGITUDE,Location Description
970,-37.8673025,145.0915075,WARRIGAL/HIGH ST RD
2000,-37.851923174999996,145.094323925,BURWOOD HWY/WARRIGAL
2200,-37.816539975,145.0980472,MAROONDAH/UNION
2820,-37.794785000000005,145.03046,CHANDLER HWY/PRINCESS ST
2825,-37.78661,145.06202,EASTERN/BURKE ON RAMP
2827,-37.781739325000004,145.0773314,EASTERN FWY/BULLEEN/THOMPSONS
2846,-37.861304275,145.05787450000003,MONASH/HIGH/WILLS
3001,-37.814655,145.02213749999999,BARKERS/CHURCH/HIGH
3002,-37.8151625,145.02657250000001,BARKERS/DENMARK/POWER
3120,-37.822895,145.0572875,BURKE/CANTERBURY
3122,-37.823856666666664,145.06439333333333,CANTERBURY/STANHOPE
3126,-37.827846666666666,145.09857666666667,CANTERBURY/WARRIGAL
3127,-37.82522666666667,145.07794666666666,CANTERBURY/BALWYN
3180,-37.796213333333334,145.08350666666666,DONCASTER/BALWYN
3662,-37.808952500000004,145.0274575,HIGH/DENMARK/PRINCESS/S'PARK
3682,-37.837475,145.0968675,WARRIGAL/RIVERSDALE
3685,-37.85489666666667,145.09391000000002,WARRIGAL/HIGHBURY
3804,-37.833642499999996,145.0623925,RIVERSDALE/TRAFALGAR
3812,-37.83749,145.060865,CAMBERWELL/SEYMOUR/TRAFALGAR
4030,-37.79533,145.06160666666668,BURKE/DONCASTER/KILBY/HIGH
4032,-37.8022975,145.06123,BURKE/BELMORE/HARP
4034,-37.81185,145.059405,BURKE/COTHAM/WHITEHORSE
4035,-37.818156349999995,145.058122575,BURKE/BARKERS/MONT ALBERT
4040,-37.83287166666667,145.05542333333332,BURKE/CAMBERWELL/RIVERSDALE
4043,-37.84716,145.0526275,BURKE/TOORAK
4051,-37.79414333333333,145.06933333333333,DONCASTER/BULLEEN/SEVERN
4057,-37.804975,145.081765,BALWYN/BELMORE
4063,-37.8143725,145.080005,WHITEHORSE/BALWYN
4262,-37.82155,145.01503,BURWOOD/CHURCH
4263,-37.823056175,145.024958,BURWOOD/POWER
4264,-37.8241275,145.03400499999998,BURWOOD/GLENFERRIE
4266,-37.82529666666667,145.04344666666668,BURWOOD/AUBURN
4270,-37.8302275,145.032815,GLENFERRIE/RIVERSDALE
4272,-37.83188333333333,145.04639333333333,RIVERSDALE/TOORONGA
4273,-37.84659,145.04443,TOORAK/TOORONGA
4321,-37.800837924999996,145.049119025,HIGH/HARP/VALERIE
4324,-37.80933233333334,145.03684766666666,COTHAM/GLENFERRIE
4335,-37.806215,145.03525000000002,HIGH/CHARLES
4812,-37.82891333333333,145.01558666666665,SWAN/MADDEN
4821,-37.812965,145.00847,VICTORIA/BURNLEY/WALMER
